ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1526756382.981246,CMjiyb4HMf9vkKjJw3,192.168.2.5,38803,200.168.87.203,59353,tcp,-,2.994315,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756389.985593,CLDT01mb9aAEFYTu7,192.168.2.5,38803,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756393.992340,Cj92Jg4YL0aHBJJsNk,192.168.2.5,38804,200.168.87.203,59353,tcp,-,2.993339,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756341.958671,Cid37b1b4SfLVyu7O3,192.168.2.5,123,31.31.74.35,123,udp,-,0.017674,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756341.958890,CDLt1YZGZSgjTMXka,192.168.2.5,123,78.108.102.237,123,udp,-,0.014011,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756341.959109,Cfp1l54uuvw21MSje5,192.168.2.5,123,37.157.198.150,123,udp,-,0.018252,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756400.995683,CYJge9DMRc6kPYXfh,192.168.2.5,38804,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756405.003400,CgPGgV3P9RYC28GqFe,192.168.2.5,38807,200.168.87.203,59353,tcp,-,2.992238,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756412.005627,C5zPEJ35Czq0fPmfk6,192.168.2.5,38807,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756416.014432,Cu0H6LHJYi1TxdK3b,192.168.2.5,38808,200.168.87.203,59353,tcp,-,2.991271,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756423.015696,ChBOeg19Jvg54lMRj7,192.168.2.5,38808,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756427.025539,Cpv5TnkhL0BkrRZN,192.168.2.5,38809,200.168.87.203,59353,tcp,-,2.990213,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756374.958937,CBXL0R3qorl8q8a8we,192.168.2.5,123,5.1.56.123,123,udp,-,0.018314,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756434.025775,CTjHSz2cFkju691LE7,192.168.2.5,38809,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756438.036595,CZOaQn3sy3fuFsVRQ7,192.168.2.5,38810,200.168.87.203,59353,tcp,-,2.999201,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756445.045833,C7n6dwBJKsPVbG80b,192.168.2.5,38810,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756449.047686,CTgeyD3BwjwfmoaT9j,192.168.2.5,38811,200.168.87.203,59353,tcp,-,2.998286,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756456.055884,Cf24gz4rbIL3IIxI38,192.168.2.5,38811,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756460.058681,CDJ2W842VIcibDpjKh,192.168.2.5,38812,200.168.87.203,59353,tcp,-,2.997323,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756407.958986,CK8A9h3bGJzH1UY1Yb,192.168.2.5,123,31.31.74.35,123,udp,-,0.012828,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756408.959017,CSnv1j1rJ0LmIEOshf,192.168.2.5,123,78.108.102.237,123,udp,-,0.009598,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756409.958993,CuTPii1iguGKfZEUW9,192.168.2.5,123,37.157.198.150,123,udp,-,0.013885,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756402.553620,CDoSAt2DOdGEtBAhjl,192.168.2.5,45623,111.230.241.23,2407,tcp,irc,64.045412,92,190,RSTR,-,-,0,ShADadfrr,8,516,10,670,(empty),Malicious,C&C
1526756467.065928,C4PcoE1ihjIIDyCWwg,192.168.2.5,38812,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756471.069639,C4qaJ5KBea4bFqWd1,192.168.2.5,38813,200.168.87.203,59353,tcp,-,2.996469,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756478.076001,CUZk0f40pTCUZtVnK4,192.168.2.5,38813,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756482.080781,CxBWBA2THJCFSz2ks6,192.168.2.5,38814,200.168.87.203,59353,tcp,-,2.995284,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756489.086080,CM1mzu3pdor349Aj1e,192.168.2.5,38814,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756493.091715,Cr0FSp2tAQaDumLab1,192.168.2.5,38815,200.168.87.203,59353,tcp,-,2.994395,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756440.959207,CzfSPj2BIAe3siXjZ4,192.168.2.5,123,5.1.56.123,123,udp,-,0.013094,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756500.096106,CmNVHt4A1N4ZchBobk,192.168.2.5,38815,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756504.102736,CA4XU83RYGzgPir0V5,192.168.2.5,38816,200.168.87.203,59353,tcp,-,2.993343,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756511.106177,CsvYf9O8gZmU3q9id,192.168.2.5,38816,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756515.106867,Cme4Ih2hvvLbs5tmh8,192.168.2.5,38817,200.168.87.203,59353,tcp,-,2.999298,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756522.116217,CI06ht1Y1b5HuSqn6,192.168.2.5,38817,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756526.117992,CeyjFMQAKyMNqHki7,192.168.2.5,38818,200.168.87.203,59353,tcp,-,2.998251,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756474.959318,CcNWlV3hID4wckCVyb,192.168.2.5,123,31.31.74.35,123,udp,-,0.015365,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756475.959432,CLI0pj4fugmk49EzW3,192.168.2.5,123,78.108.102.237,123,udp,-,0.009870,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756477.959385,CZnnAs4RGAa0WW70c9,192.168.2.5,123,37.157.198.150,123,udp,-,0.022430,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756533.126204,CMH9Y93Mfk0kfWg6f5,192.168.2.5,38818,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756537.129033,CK92LR1x2REW9gGGzd,192.168.2.5,38819,200.168.87.203,59353,tcp,-,2.997321,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756544.136259,CXE8NCzGgxH1qrIka,192.168.2.5,38819,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756548.137022,CfIkwm3g3r3ZcWt6tg,192.168.2.5,38820,200.168.87.203,59353,tcp,-,2.999265,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756555.146294,CikkQt3JkIdNPjtcVk,192.168.2.5,38820,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756261.843526,CXxv6Z2vxqgKzEWmRl,192.168.2.1,61530,192.168.2.5,22,tcp,-,0.077261,36,280,OTH,-,-,0,DdA,5,296,4,488,(empty),Benign,-
1526756559.148005,C46UC71tduMg3sscLg,192.168.2.5,38821,200.168.87.203,59353,tcp,-,2.998340,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756508.959422,Cj40G734jaekGxGxCa,192.168.2.5,123,5.1.56.123,123,udp,-,0.016475,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756566.156378,CIapX8tZG1OzPPkz1,192.168.2.5,38821,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756570.159021,CTgu2w1WMiZXqEc0Jl,192.168.2.5,38822,200.168.87.203,59353,tcp,-,2.997381,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756577.166409,CCOjN63I7Y1AnkwKk3,192.168.2.5,38822,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756581.170071,C5KoVA1pPIZZZq9Qq3,192.168.2.5,38823,200.168.87.203,59353,tcp,-,2.996482,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756588.176495,CdVaCwpINlTOcPSfc,192.168.2.5,38823,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756592.181203,ClANGT2q4UAkI5bBMk,192.168.2.5,38824,200.168.87.203,59353,tcp,-,2.995403,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756542.959677,Cr8VKKs6Ktn8a8jEj,192.168.2.5,123,31.31.74.35,123,udp,-,0.014171,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756542.959919,CioULZ3WVUMLsrFSoa,192.168.2.5,123,78.108.102.237,123,udp,-,0.011087,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756599.186525,COGU331IdDhfhX8w04,192.168.2.5,38824,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756545.959696,CoCvHU16V1C5cvg8qg,192.168.2.5,123,37.157.198.150,123,udp,-,0.012331,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756603.192214,CwBctc3cPPvnmKPgSb,192.168.2.5,38825,200.168.87.203,59353,tcp,-,2.994456,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756610.196691,C7vXPR3UwqgGNu1ygh,192.168.2.5,38825,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756614.203202,CDSL461iJuvFHLn8I9,192.168.2.5,38826,200.168.87.203,59353,tcp,-,2.993451,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756621.206722,CqyLLr2pIuRs1uwhE6,192.168.2.5,38826,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756625.207411,CyruMuDlPP800vXPi,192.168.2.5,38827,200.168.87.203,59353,tcp,-,2.999268,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756576.959754,CYGdpP2kffrUA47Nt,192.168.2.5,123,5.1.56.123,123,udp,-,0.015773,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756632.216771,CGk1KA43bASnpR4Wl1,192.168.2.5,38827,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756636.218448,CGBML7qWlrN2UraHh,192.168.2.5,38828,200.168.87.203,59353,tcp,-,2.998259,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756643.226846,CFY4wW34kNvCPHsCEg,192.168.2.5,38828,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756647.229617,CNIOjU1sH0R7snzfr9,192.168.2.5,38829,200.168.87.203,59353,tcp,-,2.997130,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756654.236885,CU03O83GjdwhcFj1ma,192.168.2.5,38829,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756658.240564,CW1uNk3ZS4RJFV615h,192.168.2.5,38830,200.168.87.203,59353,tcp,-,2.996291,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756608.959921,ChpHlL2uVSgSSohAZ2,192.168.2.5,123,31.31.74.35,123,udp,-,0.016996,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756609.960031,Ce07zo1U8oxHFkIZz7,192.168.2.5,123,78.108.102.237,123,udp,-,0.010776,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756665.246914,CW9l9oG3dgpjczJJ,192.168.2.5,38830,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756613.960059,CFBw5M2YvG3URa5Gje,192.168.2.5,123,37.157.198.150,123,udp,-,0.012389,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756669.251758,C2JEVa3b8EF0ZgNBKk,192.168.2.5,38831,200.168.87.203,59353,tcp,-,2.995068,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756676.256795,CCPzAS39257dMGvTM2,192.168.2.5,38831,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756680.262701,C19ZZx1U5sBO3pEEz9,192.168.2.5,38832,200.168.87.203,59353,tcp,-,2.994171,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756687.266863,CcKYDftRyOIwPJzBf,192.168.2.5,38832,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756691.273651,CZLRKN1uTkWGKkvfP,192.168.2.5,38833,200.168.87.203,59353,tcp,-,2.993327,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756698.277040,CbI7ye2HaLf6GvN41d,192.168.2.5,38833,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756643.960173,Cf30Yv2wFc36AkXh3c,192.168.2.5,123,5.1.56.123,123,udp,-,0.014120,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756702.284673,CkdvKw24Cu4BxdvV89,192.168.2.5,38834,200.168.87.203,59353,tcp,-,2.992311,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756709.287032,CpiyIH1UD7SmUsYZne,192.168.2.5,38834,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756713.295657,CkNN6n4JbFsjA7r4Y7,192.168.2.5,38835,200.168.87.203,59353,tcp,-,2.991334,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756720.296915,CtZdED3s89xAhBV9Z3,192.168.2.5,38835,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756724.306591,CLgRY01Io6fe44nZYf,192.168.2.5,38836,200.168.87.203,59353,tcp,-,2.990379,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756674.960246,C6gVDkYSxYg4rGL3g,192.168.2.5,123,31.31.74.35,123,udp,-,0.018012,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756731.306966,C6lHDl3AiCQD04S4n2,192.168.2.5,38836,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756678.960209,COpOcJ2DWQVJTZcPBf,192.168.2.5,123,78.108.102.237,123,udp,-,0.009330,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756679.960187,CUbo0p36FVADxNco83,192.168.2.5,123,37.157.198.150,123,udp,-,0.015080,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756735.317873,Cl07ue2eXAsgLAtDf4,192.168.2.5,38837,200.168.87.203,59353,tcp,-,2.999287,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756742.327092,CLJrvDnEmmVMZ9w09,192.168.2.5,38837,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756746.328811,CXiSjF1I44PVxqN1D4,192.168.2.5,38838,200.168.87.203,59353,tcp,-,2.998223,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756753.337009,CnIpj6rrfxDmGs4ql,192.168.2.5,38838,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756757.339780,CnfWLl2AaQkRfBa736,192.168.2.5,38839,200.168.87.203,59353,tcp,-,2.997342,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756764.347117,CsPZm4mLuKfxAijF6,192.168.2.5,38839,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756712.960314,CdkoO5327SSbmDdId6,192.168.2.5,123,5.1.56.123,123,udp,-,0.086409,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756768.350789,CTSYM516LTHpNAqK23,192.168.2.5,38840,200.168.87.203,59353,tcp,-,2.996358,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756775.357094,CQdyOw2mr0AvHoNfk1,192.168.2.5,38840,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756779.361823,CyewiL3IUVnQ2T6135,192.168.2.5,38841,200.168.87.203,59353,tcp,-,2.995709,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756786.367226,Cqph9Q2XL15qbAnFJb,192.168.2.5,38841,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756790.372826,C2iMXZ1e10jmY3ZRud,192.168.2.5,38842,200.168.87.203,59353,tcp,-,2.994232,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756740.960402,C3d9Je1HkYh5xLrz46,192.168.2.5,123,31.31.74.35,123,udp,-,0.016901,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756797.377096,Cg9z05LyCxPcxYggf,192.168.2.5,38842,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756745.960463,C3pAGk4VlI8eIX7s42,192.168.2.5,123,78.108.102.237,123,udp,-,0.012528,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756801.383924,CR7zO731W17JpbR5C2,192.168.2.5,38843,200.168.87.203,59353,tcp,-,2.993285,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756747.960451,CIHFiV3pCETdstA138,192.168.2.5,123,37.157.198.150,123,udp,-,0.022427,48,48,SF,-,-,0,Dd,1,76,1,76,(empty),Benign,-
1526756808.387197,CrkqV029j91cM3Mbuk,192.168.2.5,38843,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756812.387857,CP4arzIbJSVoe60i7,192.168.2.5,38844,200.168.87.203,59353,tcp,-,2.999362,0,0,S0,-,-,0,S,3,180,0,0,(empty),Malicious,PartOfAHorizontalPortScan
1526756819.397248,CpB2Ap32SZevnbu479,192.168.2.5,38844,200.168.87.203,59353,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,PartOfAHorizontalPortScan
